bhsu,MAGICIAN,OUTLAW,2642,MAGICIAN,6422,HERO,1544,LOVER,3218,JESTER,4792,EVERYMAN,6192,CAREGIVER,4670,RULER,1006,CREATOR,2031,INNOCENT,3313,SAGE,1293,EXPLORER,2064,
bigbend,CAREGIVER,OUTLAW,980,MAGICIAN,1313,HERO,891,LOVER,657,JESTER,1563,EVERYMAN,1020,CAREGIVER,1888,RULER,1102,CREATOR,810,INNOCENT,853,SAGE,642,EXPLORER,835,
binghamton,JESTER,OUTLAW,210,MAGICIAN,488,HERO,178,LOVER,104,JESTER,1112,EVERYMAN,448,CAREGIVER,694,RULER,96,CREATOR,220,INNOCENT,126,SAGE,335,EXPLORER,268,
bju,LOVER,OUTLAW,303,MAGICIAN,517,HERO,257,LOVER,519,JESTER,343,EVERYMAN,402,CAREGIVER,476,RULER,479,CREATOR,276,INNOCENT,452,SAGE,345,EXPLORER,246,
blinn,RULER,OUTLAW,262,MAGICIAN,234,HERO,495,LOVER,138,JESTER,255,EVERYMAN,309,CAREGIVER,311,RULER,1054,CREATOR,339,INNOCENT,176,SAGE,779,EXPLORER,399,
bloomu,RULER,OUTLAW,174,MAGICIAN,156,HERO,158,LOVER,277,JESTER,118,EVERYMAN,139,CAREGIVER,144,RULER,287,CREATOR,182,INNOCENT,151,SAGE,198,EXPLORER,224,
bluecc,HERO,OUTLAW,852,MAGICIAN,737,HERO,1168,LOVER,415,JESTER,554,EVERYMAN,982,CAREGIVER,850,RULER,383,CREATOR,449,INNOCENT,954,SAGE,250,EXPLORER,502,
boisestate,INNOCENT,OUTLAW,954,MAGICIAN,659,HERO,673,LOVER,796,JESTER,480,EVERYMAN,734,CAREGIVER,625,RULER,48,CREATOR,746,INNOCENT,979,SAGE,401,EXPLORER,617,
bostonconservatory,MAGICIAN,OUTLAW,1016,MAGICIAN,1723,HERO,376,LOVER,588,JESTER,1308,EVERYMAN,487,CAREGIVER,1333,RULER,671,CREATOR,738,INNOCENT,251,SAGE,340,EXPLORER,814,
bowdoin,SAGE,OUTLAW,713,MAGICIAN,410,HERO,594,LOVER,796,JESTER,358,EVERYMAN,464,CAREGIVER,386,RULER,623,CREATOR,666,INNOCENT,678,SAGE,1104,EXPLORER,655,
bowiestate,JESTER,OUTLAW,400,MAGICIAN,283,HERO,356,LOVER,381,JESTER,3577,EVERYMAN,340,CAREGIVER,1720,RULER,718,CREATOR,445,INNOCENT,527,SAGE,392,EXPLORER,437,
